LocalCurrencyAmount,ExchangeRate,Nights,Adults,Minors,FreeMinors,cluster,GraphDate,Profile
1959.54,19.7,2,2,0,0,1,2019-08,B
1534.41,1.0,1,2,0,0,1,2019-08,B
3315.36,19.33,3,2,0,0,1,2019-08,B
990.0,19.01,1,2,0,0,1,2019-08,B
1703.24,22.12,2,2,0,0,1,2019-08,B
1983.6,19.0,2,1,0,0,0,2019-08,A
1059.1,18.95,1,1,0,0,0,2019-08,A
4060.0,22.78,5,1,0,0,0,2019-08,A
740.0,1.0,1,2,0,0,1,2019-08,B
2784.0,19.77,4,1,0,0,0,2019-08,A
5550.0,18.98,4,2,0,0,1,2019-08,B
2264.3,20.32,1,1,0,0,0,2019-08,A
1116.0,18.64,1,1,0,0,0,2019-08,A
5641.88,1.0,1,2,0,0,1,2019-08,B
2100.0,19.2,2,2,0,0,1,2019-08,B
840.0,1.0,1,2,0,0,1,2019-08,B
5391.44,16.0,4,1,0,0,0,2019-08,A
7824.25,17.9,7,2,0,0,1,2019-08,B
2208.84,21.31,2,3,0,0,1,2019-08,B
1475.37,21.31,1,1,1,1,2,2019-08,C
5088.08,16.0,4,1,0,0,0,2019-08,A
720.0,19.0,1,1,0,0,0,2019-08,A
1454.35,1.0,1,1,0,0,0,2019-08,A
4893.0,19.4,7,2,0,0,1,2019-08,B
1180.04,1.0,1,2,0,0,1,2019-08,B
1913.64,19.2109,1,1,0,0,0,2019-08,A
2993.04,19.3,2,3,0,0,1,2019-08,B
2383.23,21.57,3,1,0,0,0,2019-08,A
920.0,19.01,1,2,0,0,1,2019-08,B
2160.54,19.8,2,2,0,0,1,2019-08,B
1842.0,19.27,2,1,0,0,0,2019-08,A
771.0,17.0,1,1,0,0,0,2019-08,A
9770.45,19.0455,1,3,1,0,2,2019-08,C
2622.38,19.2109,1,2,0,0,1,2019-08,B
5116.0,19.96,4,2,0,0,1,2019-08,B
2645.58,21.31,2,2,0,0,1,2019-08,B
609.6,18.78,1,2,0,0,1,2019-08,B
3503.36,19.45,4,2,0,0,1,2019-08,B
864.83,19.33,1,1,0,0,0,2019-08,A
1159.28,19.3,1,2,0,0,1,2019-08,B
771.42,19.15,1,2,0,0,1,2019-08,B
5630.13,1.0,3,4,1,0,2,2019-08,C
674.0,17.0,1,1,0,0,0,2019-08,A
3569.88,1.0,2,2,0,0,1,2019-08,B
878.43,22.1535,1,2,0,0,1,2019-08,B
740.0,1.0,1,2,0,0,1,2019-08,B
1237.0,19.41,1,3,0,0,1,2019-08,B
740.0,1.0,1,2,0,0,1,2019-08,B
1146.0,19.56,1,1,0,0,0,2019-08,A
3034.5,19.27,3,1,0,0,0,2019-08,A
1240.0,1.0,1,4,0,0,1,2019-08,B
1140.74,19.2109,1,2,0,0,1,2019-08,B
740.0,1.0,1,2,0,0,1,2019-08,B
1350.0,1.0,1,2,0,0,1,2019-08,B
1892.0,19.2109,1,1,0,0,0,2019-08,A
1373.41,21.91,1,1,0,0,0,2019-08,A
966.7,19.2109,1,2,0,0,1,2019-08,B
2600.0,19.03,1,4,0,0,1,2019-08,B
883.94,21.58,1,1,0,0,0,2019-08,A
1355.0,1.0,1,1,0,0,0,2019-08,A
558.0,19.0,1,2,0,0,1,2019-08,B
2260.0,20.31,2,2,0,0,1,2019-08,B
1090.0,19.41,1,1,0,0,0,2019-08,A
1035.66,19.1,1,4,0,0,1,2019-08,B
1572.68,19.2109,1,1,0,1,2,2019-08,C
2938.8,21.31,2,2,0,0,1,2019-08,B
2927.4,19.77,3,1,0,0,0,2019-08,A
946.0,19.45,1,2,0,0,1,2019-08,B
800.0,19.3,1,1,0,0,0,2019-08,A
